Q7C2O6,251,1142.0,1.0
T6V3W4,858,1230.0,6.0
S8X3I7,384,1138.0,2.0
N5O4E1,539,2593.0,1.0
Y2T9B9,491,1440.0,32.0
J3D7O4,562,1713.0,11.0
M0M6H4,414,1354.0,17.0
Y3F4F1,304,1897.0,12.0
R5P3A8,935,2548.0,18.0
T5I4A7,280,654.0,19.0
A0S0Q9,193,1871.0,44.0
U3B1H3,965,3205.0,56.0
L7Y9X4,859,1599.0,33.0
G6W3C8,248,828.0,43.0
N5O7A5,859,1553.0,1.0
N6G6T7,641,1260.0,34.0
O6Y1U7,501,1678.0,3.0
U2Y8M6,332,2780.0,2.0
C7T4Q8,575,1334.0,11.0
Q1B8U2,788,2355.0,76.0
Y0U7Z1,645,2667.0,12.0
Z3E6G9,338,1929.0,27.0
Z9R2X2,71,1154.0,55.0
T6Y8E5,364,1348.0,11.0
E8A6G7,972,2525.0,34.0
C6S8L2,719,1870.0,4.0
W7S5L9,290,1083.0,32.0
F0M1K3,462,2139.0,12.0
M3L0Z4,765,3730.0,32.0
O3H6W0,278,1392.0,8.0
J3B8Q3,751,2804.0,76.0
O6O4H7,196,1790.0,2.0
N1G7O1,181,1475.0,11.0
L4H6R2,996,1431.0,9.0
J9N2M0,771,1432.0,23.0
D9A6S9,317,2862.0,43.0
G6R9T9,398,435.0,23.0
G4U0L5,115,1127.0,23.0
Z3A9B0,977,1454.0,12.0
U4L3O6,332,1167.0,5.0
U5W5W4,332,2607.0,98.0
E6K2R6,300,1667.0,4.0
Z7A3N0,663,1090.0,12.0
M7B7T6,523,1007.0,13.0
D5P1P4,738,1754.0,2.0
V8B9L8,406,2285.0,1.0
C4L1J9,495,1771.0,32.0
H8N3I9,715,715.0,3.0
T6T5E0,956,2887.0,12.0
A3K4E0,437,1261.0,23.0
Z7T4W6,830,1118.0,4.0
S4A4G6,177,1121.0,5.0
F2V7G1,328,1406.0,8.0
R2G2A8,215,2925.0,22.0
W6T1W6,542,1890.0,12.0
Z9Z8B5,166,1226.0,17.0
V6A0T1,452,228.0,87.0
F7X6N4,640,820.0,75.0
D9T9F6,479,1295.0,10.0
Q1W2E3,3232,1234.0,0.0
P0L5O6,171,736.0,23.0
W8K8P8,891,2749.0,22.0
S2P9F4,731,3427.0,87.0
U7X1U4,628,1332.0,23.0
J8Z9E8,588,2433.0,0.0
Z0K5A4,737,2245.0,32.0
Q9C5Y5,141,1912.0,45.0
X1H2M8,681,1272.0,21.0
W6V6K3,418,1650.0,19.0
E6Y8Q2,923,3881.0,6.0
H3D2R2,443,1219.0,23.0
Q0P6G3,83,1418.0,3.0
H3R3A9,554,1857.0,67.0
X0H6Y8,550,1441.0,65.0
M5Z3T6,947,1425.0,2.0
W9M8D8,932,3510.0,9.0
Q0W4W3,372,2685.0,2.0
C3I1V9,640,1565.0,11.0
T7G9E0,793,1800.0,32.0
T4G5P8,500,3536.0,34.0
X3Y7Q8,729,1572.0,11.0
Z4A8X3,832,2673.0,2.0
N5B1C4,862,1006.0,34.0
L7E1N6,142,1387.0,43.0
A2I8R9,298,2184.0,24.0
K7A5M8,34,1392.0,12.0
E1I5O5,797,1896.0,25.0
K6I2K2,938,3223.0,23.0
Q7Z0Z7,686,2489.0,45.0
U7E5G9,199,1820.0,1.0
P9Q8T9,881,1935.0,56.0
F8M3W6,117,1860.0,12.0
J5Y2R4,233,1844.0,45.0
Q1W2G8,855,3564.0,0.0
Z7J9C0,512,1226.0,32.0
O0G4N0,193,1535.0,12.0
P1G3M1,765,1581.0,66.0
J2B3F9,669,2637.0,54.0
Y0J8B4,860,1548.0,12.0
G1K3Y0,845,1048.0,4.0
I9M0K9,623,1404.0,2.0
B4B3S5,748,1351.0,12.0
Q1S2D3,650,2450.0,0.0
